序号,皇帝,皇帝简体名,皇帝繁体名,避讳1 繁体名单字拆分,避讳2 簡体名单字拆分,避讳3 可能需要避讳的同偏旁字,避讳4 替代字,避讳5 避讳后的专有词汇 简体,避讳6 避諱後的專有詞彙 繁体,避讳7 避讳前的专有词汇 简体,避讳8 避諱前的專有詞彙 繁体
1,康熙,玄烨,玄燁,玄;燁,烨,晔;曄;㡉;㭹;㹡;䍗;䝮;䩙;䮄;䲻;伭;呟;嗞;妶;弦;怰;惤;昡;泫;炫;玅;玆;玈;玹;畜;痃;眩;絃;胘;舷;蚿;螆;衒;袨;詃;鉉;铉;鮌;𠅋;𠛑;𠡆;𠣖;𡇎;𡊨;𡞅;𢂄;𢏸;𢫔;𢮂;𣃡;𣆂;𣐙;𣴹;𤣧;𤣨;𥎸;𥙆;𦍫;𦬾;𧗵;𧣙;𧺻;𨘙;𨩏;𨴋;𨸫;𩑹;𩗁;𩨬;𪐷;𪗰;𪨬;𪵚;𪿖;𫠊;𬃎;𬣤;𬫪;𭫱;𮃀;𮋸;𮟴,煜,神武门;元参;天地元黄;郑元;范蔚;元妙观;元秘塔,神武門;元武大帝;元參;元色;天地元黃;元之又元;李元霸;鄭元;範蔚;元武湖;唐元宗;元妙觀;元祕塔;元州;元元皇帝,玄武门;玄参;天地玄黄;郑玄;范晔;玄妙观;玄秘塔,玄武門;玄武大帝;玄參;玄色;天地玄黃;玄之又玄;李玄霸;鄭玄;範曄;玄武湖;唐玄宗;玄妙觀;玄祕塔;玄州;玄元;胤祯
2,雍正,胤禛,胤禛,胤;禛,,𱞳;湚;𠸕;𧎠;𨢂;㐤;㒹;㣀;㥲;䈯;䐜;䡩;傎;厧;嫃;寘;嵮;搷;槙;滇;瑱;瘨;瞋;磌;禛;稹;窴;縝;缜;蒖;衠;謓;蹎;闐;阗;鬒;鷏;黰;齻;𠁒;𠔶;𠖕;𠖩;𠤤;𡈓;𡒆;𡻗;𢅬;𢺗;𣉮;𣞟;𣰘;𤌭;𤛇;𤠶;𥛺;𥜱;𥜷;𥜹;𥪧;𦗀;𦗁;𦫭;𧜖;𧰊;𧷒;𧽍;𨈃;𨝊;𩄚;𩄠;𩌙;𩝻;𩥄;𩨋;𩺘;𪗓;𪵆;𫟥;𫷊;𬉌;𬜘;𬹙;𭦬;𮊍;𮔪;𮧼,祯,张佳允;堵允锡;允禵;赵匡允;仪征县;王士祯;崇贞;张佳印;张佳嗣,張佳允;申佳允;堵允錫;允禵;趙匡允;正定府;儀徵縣;王士正;王士禎;崇貞;崇正;引山;張佳印;張佳嗣,赵匡胤;仪真县;王士禛,张佳胤;申佳胤;堵胤錫;趙匡胤;真定府;儀真縣;王士正;王士禛;崇禛;胤山;
3,乾隆,弘历,弘暦,弘;暦,历,,宏;厤;歴;厯,宏农;恒农;陈宏谋;赵宏恩;博学鸿词;庆厯;万厯;万歷,宏光;宏治;宏農;恆農;陳宏謀;趙宏恩;博學鴻詞;慶厯;萬厯;永厯;時憲書;宏道;宏始;宏忍;厯城;萬歷,弘农;陈弘谋;赵弘恩;博学弘词;庆历;万历;永历;时宪历;历城;万历,弘光;弘治;弘農;陳弘謀;趙弘恩;博學弘詞;慶曆;萬曆;永曆;時憲曆;弘道;弘始;弘忍;曆城;萬曆
4,嘉庆,顒琰,顒琰,顒;琰;璉,琏,𦼓;㓹;㥕;㰊;㲜;㷋;㷠;㷥;䆦;䊏;䎦;䑞;䗊;倓;埮;婒;惔;扊;掞;敥;晱;棪;欻;烾;煔;燄;燅;燚;睒;緂;腅;舕;菼;裧;覢;談;賧;醈;錟;顃;顲;颷;餤;𠊌;𠪛;𡀕;𡃘;𡐼;𡨼;𡪶;𡬖;𡳉;𢀆;𢃔;𢅮;𢉘;𢊝;𢸧;𢸱;𢹙;𢻑;𢻟;𢽻;𣝎;𨪘;𨾄;𩉀;𩖋;𩖖;𩗹;𩙪;𩩧;𩸥;𪂈;𪉧;𪏋;𪐗;𪑓;𪒸;𪝧;𪹑;𪹝;𪺯;𬊦;𬋓;𬫨;𬸖;𭵞;𭶈;𭶟;𭻞;𮊛,𤥎,二十八俭,俞琬;二十八儉,,俞琰;二十八琰
5,道光,旻宁,旻寜,旻;寜,宁,,𣅐;甯;寕;寍;寧;寗;寜;㝕;𡧾;𡨬;𡨴;𡩬;𡪕;𡬛;𡨪;𡩋,江宁;宁国;宁波;宁夏;宁古塔;熙宁;崇宁;至宁,江甯;甯國;甯波;甯夏;甯古塔;熙甯;崇甯;至甯,,江寧;寧國;寧波;寧夏;寧古塔;熙寧;崇寧;至寧
6,咸丰,奕詝,奕詝,奕;詝,,伫;纻;苎;𥩟;𫎓;𬣞;𬙯;𮳢;𰼣;𰛑;苧;荢;萗;萣;萱;莞;柠;聍;𩶂;𩼧;𪥰;𫛢;𫦵;𫳘;𫴝;𫹿;𬍜;𬑱;𬬾;𬱑;𬲲;𬷋;𬷌;𮀓;𮁫;𮚪;𮜞;𮫂;佇;坾;擯;眝;竚;紵;羜;苧;詝;貯;㤖;㿾;䇡;䍆;䘢;𡧲;𡨸;𡨹;𡨺;𡪄;𡪇;𢁼;𤆼;𤕞;𤱤;𤲑;𤴍;𥹍;𦂂;𦈀;𧉞;𧵒;𨀉;狞;泞;咛;拧,𬣞,,,,
7,同治,载淳,載淳,淳,,,涥;湻,,湻化;湻熙;湻祐;湻安,,淳化;淳熙;淳祐;淳安
8,光绪,载湉,載湉,湉,,恬;湉;𦳇,,,,,
9,宣统,溥仪,溥儀,溥;儀,仪,,,唐绍怡;宜征;宜封,唐紹怡;宜徵;宜封,唐绍仪;仪征;仪封,唐紹儀;儀徵;儀封
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
